,Nama_Produk,Akun,ulasan,rate,,,,,Ulasan_clean
1,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Stephanus,keduakali beli tapi sayang yang kedua lambat dalam respon order pagi supaya bisa dikirim hari itu juga tapi sampai sore gak ada respon setelah ditanya baru respon itupun baru dikirim besoknya untuk barang bagus sesuai dengan harga,3,,,,,dua kali beli sayang lambat respon order pagi kirim sore respon respon itu kirim besok barang bagus sesuai harga
2,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Yati,bagus pengiriman cepat,5,,,,,bagus kirim cepat
3,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Husin,barang sesuai pesanan,4,,,,,barang sesuai pesan
4,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Febby,agak panas pas dipakai,5,,,,,panas pakai
5,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Rahmat,barang sesuai permintaan dan bagus namun komunikasi penjual ke pembeli tidak pro aktif,3,,,,,barang sesuai minta bagus komunikasi jual beli pro aktif
6,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Alden,bagus maskernya,5,,,,,bagus masker
7,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Heni,pengirimn cepet produkx juga bagus konsumen   sukamkasih,4,,,,,pengirimn cepat produk bagus konsumen suka makasih
8,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Husin,barang sesuai pesanan pengiriman cepat,5,,,,,barang sesuai pesan kirim cepat
9,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,n***l,proses barang dijemput kurir lama banget anjas lah pokoknya,1,,,,,proses barang jemput kurir banget anjas pokok
10,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Antonius,mantabspesan lagi yg warna hitam putih pink,5,,,,,mantabspesan warna hitam putih pink
11,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,M***e,pengiriman cepat sesuai pesanan respon penjual cepat dan ramah,5,,,,,kirim cepat sesuai pesan respon jual cepat ramah
12,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,R***I,barang diterima sesuai pesanan dan aman,5,,,,,barang terima sesuai pesan aman
13,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Frida,,5,,,,,
14,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Renold,kecewa berat dgn masker hijab warna hitamnya tali masker gampang putus krn tali masker terlalu pendek,1,,,,,kecewa berat masker hijab warna hitam tali masker gampang putus tali masker pendek
15,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Roy,pengiriman sesuai estimasi terbaik lah,5,,,,,kirim sesuai estimasi baik
16,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Ridwan,karet headloop nya agak pendek saya  istri tidak bisa pakai untungnya punya anak kecil jadi tidak masih bisa digunakan,3,,,,,karet headloop nya pendek istri pakai untung anak
17,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Fatma,barang bagus hrga murah pelayanan memuaskan,5,,,,,barang bagus hrga murah layan muas
18,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,v***a,bagus barangnya sesuai,5,,,,,bagus barang sesuai
19,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,A***s,nan,5,,,,,nan
20,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Renold,masker medis lumayan cpt sampai di tujuan harga murah tp bkn barang murahansmoga masker medis nya bermanfaat,5,,,,,masker medis lumayan cepat tuju harga murah barang murahansmoga masker medis nya manfaat
21,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Parama,seperti biasa sesuai pesanan packing baik pengiriman cepat terima kasih yaa,5,,,,,sesuai pesan packing kirim cepat terima kasih ya
22,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,S***l,sesuai harga,4,,,,,sesuai harga
23,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Galih,pengiriman cepat barang sesuai,5,,,,,kirim cepat barang sesuai
24,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Sujatmiko,sesuai pesanan sipp,5,,,,,sesuai pesan sip
25,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,A***s,nice one ,5,,,,,nice one
26,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Hae,sesuai pesanan,5,,,,,sesuai pesan
27,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,M***i,barangnya udah nyampe di rumah ,5,,,,,barang rumah
28,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Achmad,di proses nya cepet thanks gan,5,,,,,proses nya cepat thanks gan
29,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,M***r,barang sesuai pesanan,5,,,,,barang sesuai pesan
30,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,s***a,pengiriman nya sangat cepat barang sampe dengan aman tidak ada kerusakan,5,,,,,kirim nya cepat barang aman rusa
31,Masker Evo PlusMed 4d Medis - Putih,A***i,masker favorite lebih seneng beli dari official store karena lebih terjamin,5,,,,,masker favorite senang beli official store jamin
