,Nama_Produk,Akun,ulasan,rate,ulasan_tokenize,ulasan_normalized,ulasan_stop_removed,ulasan_Stemmed,ulasan_clean
0,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Stephanus,keduakali beli tapi sayang yang kedua lambat dalam respon order pagi supaya bisa dikirim hari itu juga tapi sampai sore gak ada respon setelah ditanya baru respon itupun baru dikirim besoknya untuk barang bagus sesuai dengan harga,3,"['keduakali', 'beli', 'tapi', 'sayang', 'yang', 'kedua', 'lambat', 'dalam', 'respon', 'order', 'pagi', 'supaya', 'bisa', 'dikirim', 'hari', 'itu', 'juga', 'tapi', 'sampai', 'sore', 'gak', 'ada', 'respon', 'setelah', 'ditanya', 'baru', 'respon', 'itupun', 'baru', 'dikirim', 'besoknya', 'untuk', 'barang', 'bagus', 'sesuai', 'dengan', 'harga']","['kedua kali', 'beli', 'tapi', 'sayang', 'yang', 'kedua', 'lambat', 'dalam', 'respon', 'order', 'pagi', 'supaya', 'bisa', 'dikirim', 'hari', 'itu', 'juga', 'tapi', 'sampai', 'sore', 'tidak', 'ada', 'respon', 'setelah', 'ditanya', 'baru', 'respon', 'itupun', 'baru', 'dikirim', 'besoknya', 'untuk', 'barang', 'bagus', 'sesuai', 'dengan', 'harga']","['kedua kali', 'beli', 'sayang', 'lambat', 'respon', 'order', 'pagi', 'dikirim', 'sore', 'respon', 'respon', 'itupun', 'dikirim', 'besoknya', 'barang', 'bagus', 'sesuai', 'harga']","['dua kali', 'beli', 'sayang', 'lambat', 'respon', 'order', 'pagi', 'kirim', 'sore', 'respon', 'respon', 'itu', 'kirim', 'besok', 'barang', 'bagus', 'sesuai', 'harga']",dua kali beli sayang lambat respon order pagi kirim sore respon respon itu kirim besok barang bagus sesuai harga
1,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Yati,bagus pengiriman cepat,5,"['bagus', 'pengiriman', 'cepat']","['bagus', 'pengiriman', 'cepat']","['bagus', 'pengiriman', 'cepat']","['bagus', 'kirim', 'cepat']",bagus kirim cepat
2,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Husin,barang sesuai pesanan,4,"['barang', 'sesuai', 'pesanan']","['barang', 'sesuai', 'pesanan']","['barang', 'sesuai', 'pesanan']","['barang', 'sesuai', 'pesan']",barang sesuai pesan
3,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Febby,agak panas pas dipakai,5,"['agak', 'panas', 'pas', 'dipakai']","['sedikit', 'panas', 'saat', 'dipakai']","['panas', 'dipakai']","['panas', 'pakai']",panas pakai
4,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Rahmat,barang sesuai permintaan dan bagus namun komunikasi penjual ke pembeli tidak pro aktif,3,"['barang', 'sesuai', 'permintaan', 'dan', 'bagus', 'namun', 'komunikasi', 'penjual', 'ke', 'pembeli', 'tidak', 'pro', 'aktif']","['barang', 'sesuai', 'permintaan', 'dan', 'bagus', 'namun', 'komunikasi', 'penjual', 'ke', 'pembeli', 'tidak', 'pro', 'aktif']","['barang', 'sesuai', 'permintaan', 'bagus', 'komunikasi', 'penjual', 'pembeli', 'pro', 'aktif']","['barang', 'sesuai', 'minta', 'bagus', 'komunikasi', 'jual', 'beli', 'pro', 'aktif']",barang sesuai minta bagus komunikasi jual beli pro aktif
5,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Alden,bagus maskernya,5,"['bagus', 'maskernya']","['bagus', 'maskernya']","['bagus', 'maskernya']","['bagus', 'masker']",bagus masker
6,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Heni,pengirimn cepet produkx juga bagus konsumen sukamkasih,4,"['pengirimn', 'cepet', 'produkx', 'juga', 'bagus', 'konsumen', 'sukamkasih']","['pengirimn', 'cepet', 'produknya', 'juga', 'bagus', 'konsumen', 'suka makasih']","['pengirimn', 'cepet', 'produknya', 'bagus', 'konsumen', 'suka makasih']","['pengirimn', 'cepet', 'produk', 'bagus', 'konsumen', 'suka makasih']",pengirimn cepet produk bagus konsumen suka makasih
7,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Husin,barang sesuai pesanan pengiriman cepat,5,"['barang', 'sesuai', 'pesanan', 'pengiriman', 'cepat']","['barang', 'sesuai', 'pesanan', 'pengiriman', 'cepat']","['barang', 'sesuai', 'pesanan', 'pengiriman', 'cepat']","['barang', 'sesuai', 'pesan', 'kirim', 'cepat']",barang sesuai pesan kirim cepat
8,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,n***l,proses barang dijemput kurir lama banget anjas lah pokoknya,1,"['proses', 'barang', 'dijemput', 'kurir', 'lama', 'banget', 'anjas', 'lah', 'pokoknya']","['proses', 'barang', 'dijemput', 'kurir', 'lama', 'banget', 'anjas', 'lah', 'pokoknya']","['proses', 'barang', 'dijemput', 'kurir', 'banget', 'anjas', 'pokoknya']","['proses', 'barang', 'jemput', 'kurir', 'banget', 'anjas', 'pokok']",proses barang jemput kurir banget anjas pokok
9,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Antonius,mantabspesan lagi yg warna hitam putih pink,5,"['mantabspesan', 'lagi', 'yg', 'warna', 'hitam', 'putih', 'pink']","['mantabspesan', 'lagi', 'yang', 'warna', 'hitam', 'putih', 'pink']","['mantabspesan', 'warna', 'hitam', 'putih', 'pink']","['mantabspesan', 'warna', 'hitam', 'putih', 'pink']",mantabspesan warna hitam putih pink
